"#TX02 Truth hurts . Crenshaw is harming his constituents . Vote for Sima ( @USER ) instead in this November 's election . #Houston #Kingwood",20,78.30,50.00,3.37,1.00,5.00,40.00,50.00,30.00,10.00,5.00,0.00,0.00,0.00,5.00,0.00,5.00,0.00,10.00,5.00,5.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,15.00,5.00,10.00,0.00,0.00,5.00,5.00,0.00,0.00,0.00,5.00,10.00,0.00,0.00,0.00,0.00,5.00,5.00,5.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,10.00,0.00,5.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,10.00,20.00
"requested “ ellen degeneres ” by lil b four ( 4 ) times . did not get played once ( 1 ) . im not going to say that the dj should sleep with one ( 1 ) eye open tonight , because im not that type of guy . but it would n't be a bad idea . #notathreat #justasuggestion #thankyoubasedgod",49,51.55,11.05,59.54,25.77,9.80,14.29,79.59,40.82,10.20,4.08,4.08,0.00,0.00,0.00,0.00,6.12,4.08,8.16,12.24,0.00,4.08,6.12,24.49,2.04,0.00,0.00,12.24,0.00,4.08,2.04,2.04,0.00,0.00,0.00,6.12,0.00,2.04,0.00,2.04,16.33,2.04,2.04,4.08,0.00,0.00,8.16,6.12,2.04,4.08,0.00,4.08,4.08,0.00,0.00,0.00,8.16,0.00,0.00,4.08,2.04,2.04,4.08,12.24,4.08,12.24,2.04,4.08,6.12,0.00,4.08,0.00,0.00,0.00,0.00,4.08,0.00,4.08,0.00,0.00,0.00,34.69,8.16,2.04,0.00,0.00,0.00,0.00,0.00,4.08,2.04,12.24,6.12
Sister : I really want to taste the lice spray ! \ n \ nShe 's really going to end up being a copy of me when she 's older -,26,82.82,22.08,83.83,25.77,13.00,0.00,73.08,50.00,11.54,11.54,7.69,0.00,0.00,3.85,0.00,0.00,7.69,15.38,3.85,11.54,3.85,0.00,11.54,3.85,3.85,3.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.69,3.85,0.00,7.69,0.00,11.54,0.00,0.00,3.85,0.00,0.00,7.69,3.85,0.00,0.00,0.00,3.85,0.00,0.00,0.00,3.85,7.69,3.85,0.00,3.85,0.00,0.00,0.00,3.85,3.85,19.23,3.85,3.85,11.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.92,0.00,0.00,3.85,0.00,0.00,3.85,3.85,0.00,7.69,0.00,7.69
"@USER @USER @USER @USER Kalikesh ji very frankly speaking this man is totally theetless and only give speech . I am just surprised they are not doing nothing.We as a state not even try to use our capacity.when we become advance state.when our state will research about tackle this types of things .",54,3.54,86.68,15.12,60.88,27.00,18.52,77.78,57.41,16.67,11.11,1.85,7.41,0.00,0.00,1.85,5.56,1.85,7.41,11.11,14.81,7.41,5.56,18.52,3.70,1.85,3.70,0.00,0.00,1.85,1.85,0.00,0.00,0.00,0.00,14.81,0.00,0.00,0.00,1.85,14.81,1.85,1.85,0.00,1.85,5.56,3.70,3.70,0.00,3.70,0.00,0.00,0.00,0.00,0.00,0.00,11.11,7.41,3.70,0.00,1.85,0.00,0.00,12.96,1.85,7.41,1.85,1.85,3.70,1.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,9.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.41
"You 're my favorite person in the world Jilly ;) , can't wait for our adventures this summa :red_heart: :red_heart: love you endlessly #futuregodmother",25,73.88,97.69,69.14,99.00,25.00,16.00,84.00,36.00,20.00,16.00,4.00,4.00,8.00,0.00,0.00,4.00,4.00,8.00,0.00,0.00,0.00,4.00,4.00,12.00,0.00,0.00,0.00,0.00,12.00,12.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,4.00,8.00,8.00,0.00,0.00,12.00,8.00,0.00,0.00,0.00,12.00,8.00,0.00,0.00,4.00,0.00,0.00,8.00,4.00,16.00,0.00,8.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,4.00,0.00,0.00,0.00,40.00,0.00,4.00,16.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,12.00
I miss you :red_heart:,5,8.69,97.69,43.37,1.00,5.00,0.00,100.00,40.00,40.00,40.00,20.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,20.00,0.00,0.00,0.00,0.00,20.00,0.00,20.00,0.00,0.00,20.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,20.00,0.00,0.00,20.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00,0.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00
"It 's not a dead formation , it just requires a competent coach and players ( as with any system ) .",18,75.90,13.32,1.00,25.77,18.00,22.22,77.78,50.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00,11.11,11.11,11.11,0.00,5.56,11.11,5.56,0.00,5.56,5.56,0.00,0.00,5.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,0.00,0.00,0.00,5.56,0.00,5.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,0.00,5.56,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,5.56,0.00,0.00,0.00,5.56,0.00,0.00,0.00,0.00,0.00,0.00,27.78,5.56,5.56,0.00,0.00,0.00,0.00,0.00,0.00,5.56,11.11,0.00
"@USER same here , , , i just can remember the comercials on the tv lol",13,82.82,22.08,63.54,99.00,13.00,15.38,84.62,53.85,7.69,7.69,7.69,0.00,0.00,0.00,0.00,0.00,15.38,7.69,7.69,15.38,0.00,0.00,7.69,7.69,7.69,0.00,0.00,0.00,7.69,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.69,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.69,7.69,0.00,7.69,0.00,7.69,0.00,0.00,7.69,0.00,0.00,0.00,0.00,7.69,0.00,7.69,0.00,0.00,0.00,30.77,0.00,23.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.69
"been modernised , many still lack air conditioning and cooling units . Make",11,32.58,50.00,2.40,25.77,5.50,27.27,72.73,27.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09,9.09,9.09,0.00,27.27,0.00,0.00,0.00,0.00,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.18,0.00,9.09,9.09,0.00,0.00,0.00,9.09,0.00,0.00,9.09,0.00,0.00,0.00,0.00,0.00,9.09,0.00,0.00,0.00,0.00,9.09,9.09,18.18,0.00,18.18,0.00,9.09,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.18,9.09,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER I just went to my fridge and saw I was out and its a 50/50 if I wanna leave now and get some ha",74,70.25,24.95,2.75,51.03,74.00,0.00,31.08,21.62,6.76,5.41,5.41,0.00,0.00,0.00,0.00,1.35,1.35,2.70,2.70,2.70,5.41,0.00,6.76,0.00,0.00,0.00,2.70,1.35,1.35,1.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.05,0.00,0.00,2.70,2.70,0.00,1.35,1.35,1.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.35,0.00,0.00,0.00,1.35,0.00,4.05,4.05,1.35,5.41,2.70,1.35,1.35,0.00,0.00,1.35,0.00,0.00,0.00,2.70,0.00,1.35,0.00,0.00,0.00,67.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,67.57
"@USER Depends really . I do n't really limit my taste to particular genres , I just listen to what I think sounds good",22,21.87,1.20,96.40,94.75,11.00,9.09,86.36,50.00,22.73,18.18,18.18,0.00,0.00,0.00,0.00,4.55,0.00,9.09,4.55,13.64,0.00,0.00,18.18,4.55,4.55,4.55,0.00,0.00,4.55,4.55,0.00,0.00,0.00,0.00,4.55,0.00,0.00,0.00,0.00,18.18,4.55,4.55,0.00,4.55,0.00,9.09,13.64,0.00,9.09,0.00,4.55,0.00,0.00,0.00,4.55,9.09,0.00,4.55,0.00,4.55,0.00,0.00,18.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.18,4.55,4.55,0.00,0.00,0.00,0.00,0.00,0.00,4.55,0.00,4.55
I took a huge snooze and it was the best part of my weekend so far .,16,38.60,10.58,95.60,99.00,16.00,6.25,93.75,56.25,18.75,12.50,12.50,0.00,0.00,0.00,0.00,6.25,12.50,6.25,6.25,6.25,12.50,0.00,12.50,12.50,6.25,0.00,0.00,6.25,6.25,6.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.75,0.00,6.25,12.50,12.50,0.00,12.50,0.00,0.00,18.75,0.00,12.50,6.25,0.00,6.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.25,6.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
mood,1,93.26,50.00,1.00,25.77,1.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
